srcipinternal,dstipinternal,srcipver,dstipver,date,time,action,protocol,srcip,dstip,srcport,dstport,size,tcpflags,tcpsyn,tcpack,tcpwin,icmptype,icmpcode,info,path
1,1,ipv4,ipv4,2022-01-29,21:19:14,ALLOW,UDP,192.168.245.1,192.168.245.255,17500,17500,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:19:14,ALLOW,UDP,10.102.30.5,10.102.30.255,17500,17500,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:19:20,ALLOW,UDP,10.102.30.5,192.168.1.1,61523,53,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:19:20,ALLOW,UDP,10.102.30.5,192.168.1.1,65507,53,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:19:20,ALLOW,UDP,10.102.30.5,192.168.1.1,63057,53,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:19:20,ALLOW,UDP,10.102.30.5,192.168.1.1,60648,53,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:19:20,ALLOW,UDP,10.102.30.5,192.168.1.1,57649,53,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:19:32,ALLOW,UDP,192.168.56.1,239.255.255.250,57650,1900,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:19:32,ALLOW,UDP,192.168.192.1,239.255.255.250,57651,1900,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:19:32,ALLOW,UDP,192.168.245.1,239.255.255.250,57652,1900,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:19:32,ALLOW,UDP,10.102.30.5,239.255.255.250,57653,1900,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:19:35,ALLOW,UDP,10.102.30.5,192.168.1.1,53730,53,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:19:36,ALLOW,TCP,10.102.30.5,131.253.33.200,50457,443,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:19:59,ALLOW,UDP,10.102.30.5,192.168.1.1,49161,53,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:20:00,ALLOW,UDP,10.102.30.5,192.168.1.1,55267,53,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:20:00,ALLOW,UDP,10.102.30.5,192.168.1.1,59438,53,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:20:00,ALLOW,UDP,10.102.30.5,192.168.1.1,62338,53,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:20:00,ALLOW,TCP,10.102.30.5,142.250.190.133,50458,443,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:20:33,ALLOW,UDP,10.102.30.5,192.168.1.1,63862,53,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:20:33,ALLOW,UDP,10.102.30.5,192.168.1.1,56340,53,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:20:36,ALLOW,UDP,192.168.56.1,239.255.255.250,56341,1900,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:20:36,ALLOW,UDP,192.168.192.1,239.255.255.250,56342,1900,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:20:36,ALLOW,UDP,192.168.245.1,239.255.255.250,56343,1900,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:20:36,ALLOW,UDP,10.102.30.5,239.255.255.250,56344,1900,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:20:45,ALLOW,UDP,192.168.245.1,192.168.245.2,137,137,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:20:45,ALLOW,UDP,192.168.56.1,255.255.255.255,17500,17500,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:20:45,ALLOW,UDP,192.168.192.1,192.168.192.255,17500,17500,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:20:45,ALLOW,UDP,192.168.245.1,192.168.245.255,17500,17500,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:20:45,ALLOW,UDP,10.102.30.5,10.102.30.255,17500,17500,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:20:57,ALLOW,TCP,10.102.30.5,192.168.1.30,50459,80,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:20:57,ALLOW,TCP,10.102.30.5,54.210.200.53,50460,443,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:20:57,ALLOW,TCP,10.102.30.5,107.21.249.2,50461,443,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:20:57,ALLOW,TCP,10.102.30.5,192.168.1.30,50462,80,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:20:57,ALLOW,TCP,10.102.30.5,192.168.1.30,50463,80,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:21:04,ALLOW,UDP,10.102.30.5,192.168.1.1,57845,53,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:21:04,ALLOW,TCP,10.102.30.5,204.79.197.219,50464,443,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:21:04,ALLOW,UDP,10.102.30.5,192.168.1.1,50286,53,0,0,0,0,0,0,0,0,SEND
