srcipinternal,dstipinternal,srcipver,dstipver,date,time,action,protocol,srcip,dstip,srcport,dstport,size,tcpflags,tcpsyn,tcpack,tcpwin,icmptype,icmpcode,info,path
1,1,ipv6,ipv6,2020-10-14,06:19:30,ALLOW,TCP,::1,::1,58359,47001,0,-,0,0,0,-,-,-,SEND
1,1,ipv4,ipv4,2020-10-14,06:19:44,ALLOW,UDP,192.168.6.81,172.18.10.126,63077,1514,0,-,-,-,-,-,-,-,SEND
1,0,ipv4,ipv4,2020-10-14,06:20:08,ALLOW,TCP,192.168.6.81,103.216.121.174,58360,21,0,-,0,0,0,-,-,-,SEND
1,0,ipv4,ipv4,2020-10-14,06:20:08,ALLOW,TCP,192.168.6.81,103.216.121.174,58361,21,0,-,0,0,0,-,-,-,SEND
1,1,ipv4,ipv4,2020-10-14,06:20:34,ALLOW,TCP,192.168.6.81,192.168.6.95,58362,3128,0,-,0,0,0,-,-,-,SEND
1,0,ipv4,ipv4,2020-10-14,06:20:35,ALLOW,UDP,192.168.6.81,8.8.8.8,49434,53,0,-,-,-,-,-,-,-,SEND
1,1,ipv4,ipv4,2020-10-14,06:20:35,ALLOW,TCP,192.168.6.81,192.168.6.95,58363,3128,0,-,0,0,0,-,-,-,SEND
1,1,ipv4,ipv4,2020-10-14,06:20:35,ALLOW,TCP,192.168.6.81,192.168.6.95,58364,3128,0,-,0,0,0,-,-,-,SEND
1,1,ipv4,ipv4,2020-10-14,06:20:36,ALLOW,TCP,192.168.6.81,192.168.6.95,58365,3128,0,-,0,0,0,-,-,-,SEND
1,1,ipv4,ipv4,2020-10-14,06:20:36,ALLOW,TCP,192.168.6.81,192.168.6.95,58366,3128,0,-,0,0,0,-,-,-,SEND
1,1,ipv4,ipv4,2020-10-14,06:20:36,ALLOW,TCP,192.168.6.81,192.168.6.95,58367,3128,0,-,0,0,0,-,-,-,SEND
1,1,ipv4,ipv4,2020-10-14,06:20:37,ALLOW,TCP,192.168.6.81,192.168.6.95,58368,3128,0,-,0,0,0,-,-,-,SEND
1,1,ipv4,ipv4,2020-10-14,06:20:37,ALLOW,TCP,192.168.6.81,192.168.6.95,58369,3128,0,-,0,0,0,-,-,-,SEND
